,type,title,author,date,price,sales,review_num,review_score
72,[도서],미술관에 간 심리학,윤현희,2019년 04월,16020,3204,70,9.2
73,[도서],내가 공부하는 이유,사이토 다카시,2014년 06월,11700,2469,74,8.6
74,[도서],운명의 과학,한나 크리츨로우,2020년 04월,16920,7287,25,7.9
75,[도서],왜 세계의 가난은 사라지지 않는가,장 지글러,2019년 01월,11700,7122,47,8.9
76,[도서],"실례지만, 이 책이 시급합니다",이수은,2020년 10월,14400,2793,30,9.5
77,[도서],착한 소비는 없다,최원형,2020년 10월,11700,15900,20,8.5
78,[도서],마음은 괜찮냐고 시가 물었다,황인환,2021년 12월,13500,4353,36,9.8
79,[도서],부모라면 유대인처럼 하브루타로 교육하라,전성수,2012년 11월,11700,3060,59,9.3
80,[도서],"한 공기의 사랑, 아낌의 인문학",강신주,2020년 07월,16200,5088,29,9.6
81,[도서],천년의 수업,김헌,2020년 04월,14400,8697,115,9.4
82,[도서],내 인생에 용기가 되어준 한마디,정호승,2013년 01월,11700,4728,27,9.2
83,[도서],서른의 반격,손원평,2017년 10월,11250,5751,79,9.0
84,[도서],바람이 강하게 불고 있다,미우라 시온,2022년 01월,15120,4542,10,9.8
85,[eBook],망원동 브라더스,김호연,2016년 03월,9000,3186,5,9.6
86,[도서],풍덩!,우지현,2021년 06월,17820,4086,14,9.2
87,[도서],윤미네 집,전몽각,2010년 01월,25200,3564,38,9.5
88,[도서],다크 데이터,데이비드 핸드,2021년 10월,17100,3276,35,9.5
89,[도서],엘리트 세습,대니얼 마코비츠,2020년 11월,19800,5589,43,9.2
90,[도서],인류를 구한 12가지 약 이야기,정승규,2019년 05월,14400,4386,18,9.2
91,[도서],지구를 살리는 옷장,박진영,2022년 04월,12600,3747,66,9.7
92,[도서],빅 히스토리 BIG HISTORY,데이비드 크리스천,2013년 09월,13500,2622,57,8.7
93,[eBook],인스타 브레인,안데르스 한센,2020년 11월,10500,4728,0,0
94,[도서],예민한 사람을 위한 좋은 심리 습관,캐린 홀,2021년 10월,14400,2334,1,8.0
95,[도서],도시로 보는 동남아시아사,강희정,2022년 04월,16650,3978,2,9.5
96,[도서],마음의 미래,미치오 카쿠,2015년 04월,21600,3174,36,9.0
97,[도서],나는 천국을 보았다,이븐 알렉산더,2013년 04월,10800,5742,72,8.6
98,[도서],생명을 보는 마음,김성호,2020년 10월,19800,2811,16,9.9
99,[도서],"알고리즘, 인생을 계산하다 ",브라이언 크리스천,2018년 03월,18000,2427,20,8.8
100,[도서],딸에 대하여,김혜진,2017년 09월,11700,3657,76,9.1
101,[도서],전자정복,데릭 청,2015년 09월,15300,3351,0,0
102,[도서],백년식사,주영하,2020년 11월,18000,1242,19,9.6
103,[eBook],숲속의 자본주의자,박혜윤,2021년 06월,10500,1860,2,10.0
104,[도서],화성 탐사선을 탄 걸리버,곽재식,2022년 07월,14400,1572,26,9.7
105,[도서],코끝의 언어 ,주드 스튜어트,2022년 04월,17820,2292,43,9.9
106,[도서],기후변화의 심리학,조지 마셜,2018년 02월,16200,1968,4,9.0
107,[도서],모든 것은 그 자리에,올리버 색스,2019년 04월,17820,5118,16,9.4
108,[도서],인류를 식량 위기에서 구할 음식의 모험가들,아만다 리틀,2021년 01월,18000,1572,39,9.6
109,[도서],실험실의 진화,홍성욱,2020년 11월,14220,2514,20,9.6
110,[eBook],나를 부르는 숲,빌 브라이슨,2018년 12월,9500,1140,4,9.0
111,[도서],플라멩코 추는 남자,허태연,2021년 09월,12600,3627,129,8.9
112,[도서],불행은 어떻게 질병으로 이어지는가,네이딘 버크 해리스,2019년 11월,17820,2046,28,9.5
113,[도서],마음의 오류들 ,에릭 캔델,2020년 07월,21600,2424,21,9.8
